# the CSV layout may change over time.
# Band Name                        ,Catalogue Name                     ,Date Observed                      ,RA (J2000)                         ,RA (J2000)                         ,RA Uncertainty                     ,DEC (J2000)                        ,DEC (J2000)                        ,DEC Uncertainty                    ,Flux Density                       ,Flux Density Uncertainty           ,Frequency                          ,Separation                         ,UV Min                             ,UV Max                             ,Names
#                                  ,                                   ,                                   ,decimal degrees                    ,sexagesimal hours                  ,decimal degrees                    ,decimal degrees                    ,sexagesimal degrees                ,decimal degrees                    ,Jy                                 ,Jy                                 ,GHz                                ,degrees                            ,klambda                            ,klambda                            ,separated by '|'
#width:35                          ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width:35                           ,width: until EOL                   
# (note: uvmin: if greater than zero, the scale of the measured (large scale) extent of the source.)
# (note: uvmax: the scale where (small scale) structure has been measured within the source, or a limit on the resolved structure. On angular scales between uvmin and uvmax the source appears as a point source, i.e. the amplitude is constant as a function of scale.)
ALMA-Band 6                        ,ALMA                               ,2020-02-24T06:26:59Z               ,164.623355042                      ,10:58:29.60521                     ,2.78E-8                            ,1.56633991667                      ,+01:33:58.8237                     ,2.78E-8                            ,1.55                               ,0.05                               ,2.33E11                            ,Not Applicable                     ,                                   ,-34.1                              ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2019-12-30T09:15:12Z               ,164.623355042                      ,10:58:29.60521                     ,2.78E-8                            ,1.56633991667                      ,+01:33:58.8237                     ,2.78E-8                            ,1.62                               ,0.06                               ,2.33E11                            ,Not Applicable                     ,                                   ,-34.5                              ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2019-09-24T18:09:26Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.08                               ,0.1                                ,2.33E11                            ,Not Applicable                     ,                                   ,-35.3                              ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2019-02-25T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.99                               ,0.09                               ,2.33E11                            ,Not Applicable                     ,                                   ,-35.4                              ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2019-01-24T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,3.47                               ,0.12                               ,2.33E11                            ,Not Applicable                     ,                                   ,null                               ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2019-01-23T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,3.62                               ,0.08                               ,2.33E11                            ,Not Applicable                     ,                                   ,null                               ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2018-01-18T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.88                               ,0.08                               ,2.33E11                            ,Not Applicable                     ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2018-01-06T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.84                               ,0.09                               ,2.33E11                            ,Not Applicable                     ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2018-01-04T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.86                               ,0.08                               ,2.33E11                            ,Not Applicable                     ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
ALMA-Band 6                        ,ALMA                               ,2017-10-30T00:00:00Z               ,164.623355033                      ,10:58:29.60521                     ,2.77777777778E-8                   ,1.56633990833                      ,+01:33:58.8237                     ,2.77777777778E-8                   ,2.68                               ,0.08                               ,2.33E11                            ,Not Applicable                     ,                                   ,-1367.3                            ,J1058+0133|J1058+015|J105830+013340|B1055+018
