Project code	ALMA source name	Ra	Dec	Band	Cont. sens.	Frequency support	Release date	Publications	Ang. res.	Min. vel. res.	Array	Mosaic	Max. reco. scale	FOV	Scientific category	Science keyword	Int. Time	Gal. lon.	Gal. lat.	Min. freq. res.	Pol products	L5 BL	L80 BL	Obs. date	PI name	SB name	Proposal authors	Line sens. (10 km/s)	PWV	Group ous id	Member ous id	Asdm	Project title	Type	Scan intent	QA2 Status	Collections	Footprint
2016.1.00650.S	NGC3504	165.79662916665035	27.97243609907801	6	0.0464101205089929	[228.43..230.30GHz,3904.30kHz,1.42mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line] U [229.80..231.67GHz,3904.30kHz,1.42mJy/beam@10km/s,0.09uJy/beam@native, XX YY,line] U [242.75..244.63GHz,3904.30kHz,1.45mJy/beam@10km/s,0.10uJy/beam@native, XX YY,line] U [244.57..246.56GHz,31250.00kHz,1.48mJy/beam@10km/s,0.09uJy/beam@native, XX YY,continuum]	2018-02-10	1	0.565397979165851	4.821191192236006	12m	mosaic	13.436538990965659	46.984669676381344	Active galaxies	Galactic centres/nuclei	608.271	204.60292669444013	66.0400121328876	3903.9202592610577	 XX YY	19.069296	264.32343	2016-11-21	Wu, Yu-Ting	NGC3504_a_06_TM1	Trejo, Alfonso; Jiang, Ing-Guey; Taam, Ronald; Hsieh, Pei-Ying; Sakamoto, Kazushi;	1.4155766925613444	1.3135021924972534	uid://A001/X87a/X705	uid://A001/X87a/X706	1	Pattern Speed in the Double-Barred Galaxy: NGC 3504	S	TARGET	PASS		UNION ( Polygon ICRS 165.800481 27.972320 165.801788 27.971317 165.802456 27.969954 165.802403 27.968469 165.801640 27.967145 165.799391 27.965971 165.794347 27.965917 165.791950 27.966833 165.790802 27.968678 165.791101 27.970766 165.792732 27.972572 165.791470 27.973555 165.790802 27.974918 165.790854 27.976403 165.791618 27.977727 165.793867 27.978901 165.798911 27.978955 165.801309 27.978039 165.802457 27.976194 165.802158 27.974106)
2016.1.00650.S	NGC3504	165.7966291666525	27.972436099077715	6	0.062059427673218086	[228.43..230.30GHz,3904.30kHz,1.95mJy/beam@10km/s,0.12uJy/beam@native, XX YY,line] U [229.80..231.67GHz,3904.30kHz,1.95mJy/beam@10km/s,0.12uJy/beam@native, XX YY,line] U [242.76..244.63GHz,3904.30kHz,1.79mJy/beam@10km/s,0.12uJy/beam@native, XX YY,line] U [244.57..246.56GHz,31250.00kHz,2.03mJy/beam@10km/s,0.13uJy/beam@native, XX YY,continuum]	2018-05-24	1	1.7825652390462614	4.821790461213718	12m	mosaic	21.32871106255517	46.984632254469616	Active galaxies	Galactic centres/nuclei	187.16	204.6029266944412	66.04001213288946	3904.416894428158	 XX YY	5.4788814	83.841095	2017-03-18	Wu, Yu-Ting	NGC3504_a_06_TM2	Trejo, Alfonso; Jiang, Ing-Guey; Taam, Ronald; Hsieh, Pei-Ying; Sakamoto, Kazushi;	1.7919074849641965	0.5387614369392395	uid://A001/X87a/X705	uid://A001/X87a/X708	1	Pattern Speed in the Double-Barred Galaxy: NGC 3504	S	TARGET	PASS		UNION ( Polygon ICRS 165.800481 27.972320 165.801788 27.971317 165.802456 27.969954 165.802403 27.968469 165.801640 27.967145 165.799391 27.965971 165.794347 27.965917 165.791950 27.966833 165.790802 27.968678 165.791101 27.970766 165.792732 27.972572 165.791470 27.973555 165.790802 27.974918 165.790854 27.976403 165.791618 27.977727 165.793867 27.978901 165.798911 27.978955 165.801309 27.978039 165.802457 27.976194 165.802158 27.974106)
2017.1.00964.S	NGC3504	165.7965954294555	27.9724036111115	6	0.013024243494318813	[226.56..228.55GHz,31250.00kHz,0.38mJy/beam@10km/s,0.02uJy/beam@native, XX YY,continuum] U [228.43..230.31GHz,1128.91kHz,0.41mJy/beam@10km/s,0.03uJy/beam@native, XX YY,line] U [240.52..242.50GHz,31250.00kHz,0.43mJy/beam@10km/s,0.03uJy/beam@native, XX YY,continuum] U [242.77..244.75GHz,31250.00kHz,0.43mJy/beam@10km/s,0.03uJy/beam@native, XX YY,continuum]	2018-11-29	4	0.034121085407438106	1.4693808002459974	12m		0.916163907966946	24.709387303546112	Galaxy evolution	Surveys of galaxies, Galactic centres/nuclei	2794.176	204.6030009329745	66.03998009734265	1128.8154939202675	 XX YY	281.54324	4414.2188	2017-10-24	Nguyen, Dieu	NGC3504_a_06_TM1	Greene, Jenny; Seth, Anil; Onishi, Kyoko; Nyland, Kristina; Nguyen, Phuong; Iguchi, Satoru; Bureau, Martin; den Brok, Mark; Dinh, Trung; Davis, Timothy; Neumayer, Nadine;	0.3847698040571028	0.7503407001495361	uid://A001/X1288/Xba5	uid://A001/X1288/Xba6	1	Weighing Black Hole Masses in Low-Mass Galaxies	S	TARGET	PASS		UNION ( Circle ICRS 165.796595 27.972404 0.003432)
2016.1.00650.S	NGC3504	165.7966291666547	27.973327604596523	6	0.21355688402794637	[228.37..230.36GHz,3904.30kHz,6.81mJy/beam@10km/s,0.42uJy/beam@native, XX YY,line] U [229.74..231.73GHz,3904.30kHz,6.51mJy/beam@10km/s,0.40uJy/beam@native, XX YY,line] U [242.69..244.69GHz,3904.30kHz,6.75mJy/beam@10km/s,0.43uJy/beam@native, XX YY,line] U [244.57..246.56GHz,31250.00kHz,7.16mJy/beam@10km/s,0.46uJy/beam@native, XX YY,continuum]	2019-01-12	1	5.503583966319726	4.822437983818841	7m	mosaic	36.56836767513557	64.27319808097737	Active galaxies	Galactic centres/nuclei	2801.625	204.60073778554832	66.04008014446397	3903.925200967126	 XX YY	3.3194084	25.888012	2016-11-12	Wu, Yu-Ting	NGC3504_a_06_7M	Trejo, Alfonso; Jiang, Ing-Guey; Taam, Ronald; Hsieh, Pei-Ying; Sakamoto, Kazushi;	6.514319889283175	1.7999999523162842	uid://A001/X87a/X705	uid://A001/X87a/X70a	2	Pattern Speed in the Double-Barred Galaxy: NGC 3504	S	TARGET	PASS		UNION ( Polygon ICRS 165.803233 27.969959 165.803032 27.968309 165.802422 27.966949 165.801448 27.965765 165.799814 27.964645 165.798273 27.964107 165.796214 27.963935 165.794586 27.964209 165.793087 27.964832 165.790026 27.969959 165.786986 27.972961 165.786573 27.975842 165.787784 27.978542 165.789947 27.980227 165.792303 27.980903 165.800541 27.980938 165.803669 27.980040 165.804946 27.979107 165.805920 27.977923 165.806620 27.976204 165.806724 27.974744 165.806413 27.973306 165.805708 27.971982 165.804651 27.970854)
2017.1.00964.S	NGC3504	165.79659542941968	27.9724036111204	6	0.02179413319671856	[226.56..228.55GHz,31250.00kHz,0.64mJy/beam@10km/s,0.04uJy/beam@native, XX YY,continuum] U [228.43..230.31GHz,1128.91kHz,0.69mJy/beam@10km/s,0.04uJy/beam@native, XX YY,line] U [240.52..242.50GHz,31250.00kHz,0.72mJy/beam@10km/s,0.05uJy/beam@native, XX YY,continuum] U [242.77..244.75GHz,31250.00kHz,0.72mJy/beam@10km/s,0.05uJy/beam@native, XX YY,continuum]	2019-01-31	4	0.20065563262611036	1.4693803793441196	12m		5.305271798386692	24.70938676728462	Galaxy evolution	Surveys of galaxies, Galactic centres/nuclei	1542.24	204.60300093294677	66.03998009731177	1128.8151882436352	 XX YY	48.61952	750.62897	2018-01-01	Nguyen, Dieu	NGC3504_a_06_TM2	Greene, Jenny; Seth, Anil; Onishi, Kyoko; Nyland, Kristina; Nguyen, Phuong; Iguchi, Satoru; Bureau, Martin; den Brok, Mark; Dinh, Trung; Davis, Timothy; Neumayer, Nadine;	0.6437891418963309	1.3618054389953613	uid://A001/X1288/Xba5	uid://A001/X1288/Xba8	1	Weighing Black Hole Masses in Low-Mass Galaxies	S	TARGET	PASS		UNION ( Circle ICRS 165.796595 27.972404 0.003432)
